"Elevation","Aspect","Slope","Horizontal_Distance_To_Hydrology","Vertical_Distance_To_Hydrology","Horizontal_Distance_To_Roadways","Horizontal_Distance_To_Fire_Points","Cover_Type","Combined_Soil_Type","Combined_Wilderness_Area","Total_Hillshade"
2910,"NW","10-15",30,4,966,2154,"Spruce/Fir","29","Rawah Area",587
3019,"W","25-30",324,106,5268,1343,"Lodgepole Pine","29","Rawah Area",604
2743,"NW","10-15",108,12,1477,1934,"Lodgepole Pine","12","Rawah Area",600
3337,"NE","5-10",108,-2,3024,2032,"Krummholz","38","Rawah Area",575
2864,"W","30-35",360,215,1889,1503,"Lodgepole Pine","13","Comanche Peak Area",604
3142,"SE","5-10",30,0,4584,1101,"Spruce/Fir","23","Rawah Area",608
2809,"E","25-30",212,49,2554,895,"Lodgepole Pine","10","Comanche Peak Area",492
2747,"SE","0-5",0,0,1480,1082,"Spruce/Fir","23","Comanche Peak Area",614
2867,"SW","10-15",960,187,2340,1570,"Aspen","17","Comanche Peak Area",637
3085,"N","10-15",190,8,3740,926,"Spruce/Fir","29","Rawah Area",582
2224,"SE","30-35",120,69,1557,124,"Ponderosa Pine","3","Cache la Poudre Area",543
3054,"NE","0-5",85,-4,1484,720,"Spruce/Fir","23","Rawah Area",600
3190,"SE","15-20",324,-131,382,3766,"Lodgepole Pine","22","Neota Area",566
3313,"W","5-10",297,-2,3593,1852,"Spruce/Fir","32","Comanche Peak Area",631
3384,"SW","5-10",793,178,1140,2132,"Spruce/Fir","32","Comanche Peak Area",633
2755,"NE","5-10",495,84,2513,1989,"Lodgepole Pine","32","Comanche Peak Area",574
2814,"N","25-30",190,65,2896,2862,"Spruce/Fir","29","Rawah Area",493
3077,"S","15-20",485,87,1710,3642,"Spruce/Fir","29","Rawah Area",633
2556,"E","15-20",170,37,342,2294,"Lodgepole Pine","29","Rawah Area",554
2485,"SW","15-20",67,15,1008,854,"Ponderosa Pine","4","Comanche Peak Area",637
3478,"E","5-10",730,193,2329,1290,"Spruce/Fir","40","Rawah Area",593
3031,"E","10-15",297,51,1230,1165,"Lodgepole Pine","32","Comanche Peak Area",576
2739,"N","5-10",256,88,2701,1291,"Lodgepole Pine","32","Comanche Peak Area",598
2849,"NE","10-15",162,15,3477,5377,"Lodgepole Pine","12","Rawah Area",547
3210,"N","5-10",0,0,3770,1584,"Spruce/Fir","23","Rawah Area",600
2013,"N","15-20",0,0,258,495,"Douglas-fir","10","Cache la Poudre Area",551
3265,"SE","5-10",210,-18,1371,3154,"Lodgepole Pine","23","Neota Area",602
2832,"NE","10-15",510,102,2812,1822,"Lodgepole Pine","10","Comanche Peak Area",547
2568,"NE","10-15",0,0,1027,1648,"Lodgepole Pine","11","Comanche Peak Area",558
3113,"NE","20-25",384,27,3271,3112,"Spruce/Fir","29","Rawah Area",488
3378,"N","10-15",175,36,1537,1947,"Spruce/Fir","40","Neota Area",569
3014,"E","5-10",268,72,3856,2630,"Lodgepole Pine","29","Rawah Area",592
2819,"S","5-10",684,47,2140,1771,"Aspen","17","Comanche Peak Area",625
3319,"E","15-20",212,-15,2015,3254,"Krummholz","38","Rawah Area",556
3018,"NE","5-10",331,78,1148,582,"Lodgepole Pine","32","Comanche Peak Area",580
